article,subpoint,criteria_text,keywords,quantitative_params
72,4,"мелкие (до 0,5 сантиметров) одиночные конкременты почек, мочеточников, подтвержденные только ультразвуковым исследованием, без патологических изменений в моче; односторонний или двухсторонний нефроптоз I степени. Нарушение выделительной функции почек подтверждается данными выделительной урографии или радиоизотопными исследованиями. Умеренным нарушением выделительной функции почек следует считать выделение индигокармина больной почкой при хромоцистоскопии на четыре-пять минут позднее здоровой, на экскреторных урограммах выделение и накопление контрастного вещества замедленно. Степень нефроптоза определяется рентгенологом по рентгенограммам, выполненным при в вертикальном положении обследуемого: I степень - опущение нижнего полюса почки на 2 позвонка",,"{""degree"": 1, ""size_cm"": 0.5, ""size_cm_up_to"": 0.5}"
72,4,"II степень - на 3 позвонка; III степень - более чем на 3 позвонка. Физиологической подвижностью почек, в норме, является смещение вниз контура почки не более чем на высоту тела 1 позвонка. При наличии симптоматической артериальной гипертензии, обусловленной заболеванием почек, указанным в настоящем пункте, заключение о категории годности к воинской службе выносится по пунктам 1), 2) или 3) настоящего пункта в зависимости от степени нарушения функции почек и по подпунктам 1), 2) или 3) пункта 43 Требований по графам в зависимости от уровня АД.",,"{""degree"": 2}"
73,,По поводу заболеваний мужских половых органов по показаниям освидетельствуемым предлагается оперативное лечение. При неудовлетворительных результатах лечения или отказе от него медицинское освидетельствование проводится в зависимости от степени функциональных нарушений.,,{}
73,1,доброкачественная гиперплазия предстательной железы III стадии со значительным нарушением мочевыделения при неудовлетворительных результатах лечения или отказе от него; отсутствие полового члена проксимальнее уровня венечной борозды.,доброкачественный,{}
73,2,"доброкачественная гиперплазия предстательной железы II стадии с умеренным нарушением мочевыделения, объем остаточной мочи более 50 миллилитров; хронический простатит (в том числе калькулезный), требующий стационарного лечения больного три и более раза в год",доброкачественный,"{""count_more_than"": 50}"
73,2,"отсутствие обоих яичек после удаления по поводу заболеваний (неспецифического и доброкачественного характера), ранения или других повреждений; атрофия обоих яичек","атрофия, доброкачественный",{}
73,2,рецидивная (после повторного хирургического лечения) водянка оболочек яичка или семенного канатика с объемом жидкости более 50 миллилитров; отсутствие полового члена до уровня венечной борозды.,,"{""count_more_than"": 50}"
73,3,доброкачественная гиперплазия предстательной железы I стадии; хронический простатит с камнями предстательной железы при бессимптомном течении,доброкачественный,{}
73,3,"однократный рецидив водянки оболочек яичка или семенного канатика с объемом жидкости более 50 миллилитров, при отказе от оперативного лечения.",,"{""count_more_than"": 50}"
73,4,"Отсутствие одного яичка после его удаления по поводу заболеваний (неспецифического и доброкачественного характера), ранения или других повреждений при сохраненной его эндокринной функции не являются основанием для применения настоящего пункта, не препятствует прохождению воинской службы. При отсутствии яичек после удаления по поводу заболеваний (неспецифического и доброкачественного характера), ранения или других повреждений при наличии эндокринных нарушений дополнительно применяется пункт 13 Требований по графам. При выявлении гинекомастии освидетельствуемые подлежат углубленному обследованию эндокринологом. При отсутствии патологии со стороны эндокринной системы они освидетельствуются по подпункту 4) настоящего пункта.","доброкачественный, эндокринный",{}
74,1,"Воспалительные болезни женских тазовых органов со значительным нарушением функций, в том числе тубоовариальный абсцесс, пиосальпингс, пельвиоперитонит, требующие длительного стационарного лечения и (или) хирургического вмешательства.","абсцесс, воспалительный, тазовый",{}
74,2,"Воспалительные болезни женских тазовых органов с умеренным нарушением функций, рецидивирующие формы хронического аднексита, параметрита, эндометрита с частыми обострениями (три и более раз в год), требующими стационарного лечения.","воспалительный, тазовый",{}
74,3,"Воспалительные болезни женских тазовых органов с незначительным нарушением функций, хронические формы с редкими обострениями (менее трех раз в год).","воспалительный, тазовый",{}
75,1,При удовлетворительных результатах хирургического лечения освидетельствование проводится по подпункту 2) настоящего пункта.,,{}
75,3,"Клинические проявления эндометриоза оцениваются по степени распространения процесса, многоочаговости, длительности проявления расстройств: менструальной функции (гиперполименорея, метроррагия, кровянистые выделения в пред- и постменструальном периоде, развития анемии, бесплодия в сочетании с болевым синдромом, болевого синдрома), дизурических (недержание мочи), гастроинтестинальных (запоры, вздутие живота), а также эффективность проводимых лечебных мероприятий. При установлении стадии наружного эндометриоза используется классификация Американского общества фертильности от 1996 года (R-AFS).",анемия,{}
76,1,"Выпадением матки считается такое состояние, когда в положении стоя (или лежа - при натуживании) вся матка выходит за пределы половой щели наружу, вывертывая за собой стенки влагалища. Полным разрывом промежности считается такой разрыв, при котором целостность мышц промежности нарушена полностью, и они замещены рубцовой тканью, переходящей на стенку прямой кишки, задний проход зияет и не имеет правильных очертаний.",,{}
76,2,"опущение женских половых органов; болезни молочной железы (доброкачественная дисплазия, мастопатии, фиброаденоз, кисты), требующие хирургического лечения, при отказе от него",доброкачественный,{}
76,2,"рубцовые и спаечные процессы в области малого таза с болевым синдромом и нарушением функции прилегающих органов. Опущением матки и влагалища считается такое состояние, когда при натуживании половая щель зияет и из нее показывается шейка матки либо передняя или задняя стенки влагалища, но они не выходят за ее пределы. При опущении половых органов, осложненном недержанием мочи, медицинское освидетельствование проводится по подпунктам 1) или 2) настоящего пункта в зависимости от результатов лечения.",,{}
76,3,незначительные опущения стенок влагалища; рубцовые и спаечные процессы в области малого таза без болевого синдрома и без нарушения функции прилегающих органов,,{}
76,3,"болезни молочной железы, не требующие хирургического лечения; неправильное положение матки, сопровождающееся меноррагиями, запорами, болями в области крестца и внизу живота. Неправильное положение матки без нарушения функций не является основанием для применения настоящего пункта, не препятствует прохождению воинской службы, поступлению в ВУЗ.",,{}
77,1,"органически не обусловленные стойкие кровотечения, приводящие к анемии; климактерический синдром тяжелой степени, сопровождающийся выраженными вазомоторными, эмоционально-вегетативными нарушениями, урогенитальными расстройствами, поражением кожи и ее придатков.","анемия, кровотечение",{}
77,2,"нарушения овариально-менструальной функции, проявляющиеся олигоменореей, аменореей (не послеоперационной), в том числе при синдроме Штейна - Левенталя; отсутствие матки и яичников при наличии клинических проявлений климактерического синдрома",,{}
77,2,"климактерический синдром средней степени тяжести, заметно снижающее работоспособность.",,{}
77,3,"Легкие формы климактерического синдрома, не усугубляющие течение имеющихся заболеваний и неснижающее работоспособность, не являются основанием для применения настоящего пункта.",,{}
78,,"Граждане при приписке к призывным участкам, призыве на срочную воинскую службу, поступлении на воинскую службу по контракту, в ВУЗ признаются временно не годными к воинской службе на двенадцать месяцев, если у них после перенесенного острого воспалительного заболевания почек сохраняются патологические изменения в моче. Военнослужащие срочной службы, перенесшие острый диффузный гломерулонефрит, освидетельствуются по пункту 71 Требований по графам. Заключение о предоставлении военнослужащим, проходящим воинскую службу по контракту, отпуска по болезни выносится только после острых диффузных гломерулонефритов, при затяжном осложненном течении острых пиелонефритов, а также после острых (со сроком лечения не более двух месяцев) воспалительных заболеваний женских половых органов (бартолинит, вульвит, кольпит, эндометрит, аднексит), после оперативного лечения. При отсутствии данных о нарушении функции почек и патологических изменений в моче после острого воспалительного заболевания почек освидетельствуемые признаются годными к воинской службе. Окончательный экспертный вывод о наличии или отсутствии хронического нефрита (пиелонефрита) выносится после повторного обследования в стационарных условиях.","гломерулонефрит, пиелонефрит",{}
79,,"При токсикозе беременных легкой и средней степени тяжести выносится заключение о необходимости предоставления освобождения от исполнения обязанностей воинской службы, а при тяжелой степени тяжести - предоставления отпуска по болезни. При угрозе прерывания беременности, заключение о необходимости предоставления отпуска по болезни выносится после стационарного лечения. Военнослужащие - женщины при установлении у них беременности признаются временно не годными к воинской службе с РВ, ИИИ, КРТ, источниками ЭМП, лазерного излучения. С момента установления врачом (акушер-гинекологом) беременности предоставляется освобождение от строевой и физической подготовок, суточных нарядов и полевых занятий до срока декретного дородового отпуска (30 недель беременности). Женщинам военнослужащим при сроке беременности более 12 (двенадцать) недель разрешается ношение свободной формы одежды и не сдавливающей обуви с низким каблуком.",,"{""count_more_than"": 12}"
80,,"Пункт применяется в случаях невозможности лечения врожденных пороков и аномалий развития, отказа от лечения или его неудовлетворительных результатах.",,{}
80,1,"врожденные аномалии (пороки развития) уха, лица, шеи (в том числе отсутствие ушных раковин, евстахиевой трубы), с выраженными клиническими проявлениями и резким нарушением функций; комбинированные или сочетанные врожденные пороки сердца (в том числе сердечных камер и соединений, сердечной перегородки, клапанов) и крупных сосудов (в том числе стенозы, аплазии, аневризмы аорты, легочной артерии, полой вены) при наличии ХСН I-IV ФК",сердечный,{}
80,1,"изолированные врожденные пороки сердца (в том числе стеноз аорты, стеноз легочной артерии, стеноз левого атриовентрикулярного отверстия, недостаточность аортального (митрального) клапана, пролабирование створок аортального клапана, бикуспидальный аортальный клапан, миксоматоз, аневризма межпредсердной перегородки, межжелудочковой перегородки или синуса Вальсальвы, фенестрация створок клапанов с регургитацией крови, незаращение Боталлова протока, дефект межжелудочковой или межпредсердной перегородки) или крупных сосудов при наличии ХСН II-IV ФК; врожденные аномалии (пороки развития) органов дыхания с дыхательной недостаточностью III степени","дыхательный, недостаточность","{""degree"": 3}"
80,1,"расщелина губы и неба, другие врожденные аномалии (пороки развития) органов пищеварения с выраженными клиническими проявлениями и резким нарушением функций; врожденные аномалии (пороки развития) половых органов (отсутствие полового члена, атрезия влагалища), неопределенность пола и псевдогермафродизм",,{}
80,1,"агенезия одной почки при нарушении функции оставшейся почки независимо от степени ее выраженности; кистозная болезнь почек (в том числе поликистоз, односторонний мультикистоз) с проявлениями ХБП 4-5 стадии",,{}
80,1,"тазовая, подвздошная дистопия обеих почек дисплазия почки при нарушении функции оставшейся почки независимо от степени ее выраженности; врожденный гидронефроз III стадии",,{}
80,1,"подковообразная почка III стадии; аномалии почек и (или) почечных сосудов (подтвержденные данными ангиографии) и (или) мочеточников с симптоматической артериальной гипертензией, соответствующей по уровню АГ III степени и (или) со значительным нарушением выделительной функции",почечный,"{""degree"": 3}"
80,1,"аномалии мочевого пузыря и (или) мочеиспускательного канала со значительным нарушением мочевыделительной функции; врожденные деформации (аномалии) черепа, лица и челюсти (в том числе сдавленное лицо, долихоцефалия, краниосиностоз) с выраженными изменениями, со значительным нарушением функции",,{}
80,1,"врожденные деформации (аномалии) позвоночника, грудной клетки (в том числе впалая или кильевидная грудь, кифозы, сколиозы) с дыхательной недостаточностью III степени по рестриктивному типу; врожденные деформации бедра и таза, сопровождающиеся значительными ограничениями движений в тазобедренных суставах","дыхательный, зоб, кифоз, недостаточность, сколиоз","{""degree"": 3}"
80,1,деформация костей с укорочением конечности более 8 сантиметров; отсутствие сегмента конечности,,"{""size_cm"": 8.0, ""size_cm_more_than"": 8.0, ""count_more_than"": 8}"
80,1,"врожденные остеохондродисплазии (остеопетроз); синдромы врожденных аномалий (пороков развития), затрагивающие несколько систем (синдром Элерса-Данло, синдром Марфана) с нарушением анатомии органа и (или) его функции.",,{}
80,2,"отсутствие ушной раковины с одной стороны или обезображивающая деформация ушных раковин с одной или обеих сторон; комбинированные или сочетанные врожденные пороки сердца и крупных сосудов (аорты, легочной артерии) при отсутствии ХСН",зоб,{}
80,2,"изолированные врожденные пороки сердца при наличии ХСН I ФК; пролапс митрального или других клапанов сердца III степени (9 миллиметров и более), или II степени (6-8,9 миллиметров) с нарушением внутрисердечной гемодинамики, а также пролапс клапанов, осложненный миксоматозной дегенерацией створок",сердечный,"{""degree"": 3}"
80,2,"малые аномалии сердца (в том числе избыточная трабекулярность желудочков, аномальное крепление створочных хорд, аномальное положение хорд, аномалии папиллярных мышц) или их сочетание, изменяющие геометрию полости левого (правого) желудочка, сопровождающиеся нарушением диастолической функции желудочка (по результатам ЭхоКГ) и (или) нарушениями ритма ипроводимости сердца, указанными в подпунктах 1), 2), 3) пункта 42 Требований по графам; врожденные аномалии (пороки развития) органов дыхания с дыхательной недостаточностью II степени","дыхательный, недостаточность, полость","{""degree"": 2}"
80,2,"врожденные аномалии (пороки развития) органов пищеварения с умеренным нарушением функции; мошоночная или промежностная гипоспадия, полная (тотальная) эписпадия",,{}
80,2,агенезия одной почки при нормальной функции оставшейся почки; кистозная болезнь почек с проявлениями ХБП 3 стадии,,{}
80,2,врожденный гидронефроз I-II стадии; подковообразная почка I-II стадии,,{}
80,2,"аномалии почек и (или) почечных сосудов или мочеточников с симптоматической артериальной гипертензией, соответствующей по уровню АГ II степени и (или) с умеренным нарушением выделительной функции; аномалии мочевого пузыря и (или) мочеиспускательного канала с умеренным нарушением мочевыделительной функции",почечный,"{""degree"": 2}"
80,2,"односторонняя тазовая, подвздошная дистопия почки; пороки и аномалии развития черепа (в том числе краниостеноз, платибазия, базиллярные импрессии, макро- или микроцефалия) при стойких или медленнопрогрессирующих изменениях с умеренным нарушением функции",,{}
80,2,"врожденные деформации (аномалии) позвоночника, грудной клетки с дыхательной недостаточностью II степени по рестриктивному типу; врожденные деформации бедра и таза с умеренным ограничением движений в тазобедренных суставах","дыхательный, зоб, недостаточность","{""degree"": 2}"
80,2,деформация костей с укорочением конечности от 5 до 8 сантиметров; О-образное искривление ног при расстоянии между выступами внутренних мыщелков бедренных костей более 20 сантиметров или Х-образное искривление при расстоянии между внутренними лодыжками голеней более 15 сантиметров.,,"{""size_cm_max"": 8.0, ""size_cm_min"": 5.0, ""size_cm_more_than"": 20.0, ""size_cm"": 8.0, ""size_cm_up_to"": 8.0, ""count_more_than"": 20}"
80,3,"двухсторонняя микротия I, II степени; атрезия слухового прохода при восприятии шепотной речи на другое ухо на расстоянии более 3 метров",,"{""degree"": 2, ""depth_m"": 3, ""count_more_than"": 3}"
80,3,"изолированные врожденные пороки сердца при отсутствии ХСН; пролапс митрального или других клапанов сердца II степени (6-8,9 миллиметров) без нарушения внутрисердечной гемодинамики",сердечный,"{""degree"": 2}"
80,3,"пролапс митрального или других клапанов сердца I степени (от 3 до 5,9 миллиметров) с регургитацией II степени и более; малые аномалии сердца или их сочетание, изменяющие геометрию полости левого (правого) желудочка и сопровождающиеся снижением мощности выполненной нагрузки по результатам ВЭМ",полость,"{""degree"": 1}"
80,3,врожденные аномалии органов дыхания с дыхательной недостаточностью I степени; врожденные аномалии (пороки развития) органов пищеварения с незначительным нарушением функции,"дыхательный, недостаточность","{""degree"": 1}"
80,3,"эписпадия полового члена; задержка яичек в брюшной полости, паховых каналах или у их наружных отверстий",полость,{}
80,3,задержка одного яичка в брюшной полости; врожденное отсутствие яичек или отсутствие одного яичка или гипоплазия яичка (яичек) при наличии эндокринных нарушений,"полость, эндокринный",{}
80,3,"аномалии почек и (или) почечных сосудов и (или) мочеточников при наличии ХБП 2 стадии с симптоматической артериальной гипертензией, соответствующей по уровню АГ I степени и (или) с незначительным нарушением выделительной функции; одиночные солитарные кисты почек с незначительным нарушением функции почек",почечный,"{""degree"": 1}"
80,3,поясничная дистопия почек с незначительным нарушением функции почек; аномалии мочевого пузыря и (или) мочеиспускательного канала с незначительным нарушением функции почек,,{}
80,3,пороки и аномалии развития черепа при стойких изменениях с незначительным нарушением функции; деформации грудной клетки с нарушением функции внешнего дыхания I степени,,"{""degree"": 1}"
80,3,остеохондродисплазии с законченным процессом и незначительными клиническими проявлениями (при обычных физических нагрузках функция страдает незначительно); деформация костей с укорочением ноги от 2 до 5 сантиметров,,"{""size_cm"": 5.0, ""size_cm_up_to"": 5.0, ""size_cm_min"": 2.0, ""size_cm_max"": 5.0}"
80,3,О-образное искривление ног при расстоянии между выступами внутренних мыщелков бедренных костей от 10 до 20 сантиметров или Х-образное искривление при расстоянии между внутренними лодыжками голеней от 10 до 15 сантиметров; рецидивирующие дермоидные кисты копчика после неоднократного (три раза и более) радикального хирургического лечения.,,"{""size_cm_max"": 20.0, ""size_cm_min"": 10.0, ""size_cm"": 20.0, ""size_cm_up_to"": 20.0}"
80,4,"односторонняя микротия I, II степени; пролапс митрального или других клапанов сердца I степени (от 3 до 5,9 миллиметров) с регургитацией I степени без семейных случаев внезапной смерти при пролапсе митрального клапана, предшествующих случаев эмболии, нарушений ритма и проводимости сердца, указанных в подпунктах 1), 2), 3) пункта 42 Требований по графам",,"{""degree"": 2}"
80,4,"пролапс митрального или других клапанов сердца I степени (от 3 до 5,9 миллиметров) без нарушения внутрисердечной гемодинамики; малые аномалии сердца или их сочетание, не изменяющие геометрию полости левого (правого) желудочка, но сопровождающиеся снижением мощности выполненной нагрузки по результатам ВЭМ","полость, сердечный","{""degree"": 1}"
80,4,задержка одного яичка в паховом канале или у его наружного отверстия при отсутствии эндокринных нарушений; врожденное отсутствие одного яичка при сохраненной функции единственного яичка,эндокринный,{}
80,4,аномалии почек и (или) мочеточников и (или) мочевого пузыря и (или) мочеиспускательного канала при наличии ХБП 1 стадии без нарушения функций; солитарные единичные мелкие (до 20 миллиметров в диаметре) кисты без нарушения функции почек,,{}
80,4,"пороки и аномалии развития черепа без нарушения функции; деформация костей с укорочением руки до 5 сантиметров и ноги до 2 сантиметров. В случае выявления пролапса митрального или других клапанов сердца с регургитацией или без регургитации как проявления классифицируемых наследственных нарушений соединительной ткани (синдром Марфана, Элерса-Данло, несовершенного остеогенеза) освидетельствование проводится по основному заболеванию. Степень митральной и трикуспидальной регургитации определяется по глубине проникновения регургитационного потока в полость предсердия, условно разделив полость предсердия на 4 части, и соответственно разделению выделяют 4 степени регургитации (1-я степень - регургитация на 1/4 глубины полости предсердия, 2-я степень - регургитация на 1/2 глубины полости предсердия, 3-я степень - регургитация на 3/4 глубины полости предсердия, 4-я степень - регургитация на всю глубину полости предсердия). К протоколу ЭхоКГ-обследования обязательно прилагается графическое изображение, подтверждающее выявленную степень пролабирования и (или) регургитации. Протокол ЭхоКГ-обследования подтверждается подписью врача ультразвуковой (функциональной) диагностики. Под нарушением внутрисердечной гемодинамики следует считать постоянную регургитацию I степени и более. Приклапанная (минимальная) регургитация относится к регургитации I степени. Регургитация I степени на клапане легочной артерии при отсутствии легочной гипертензии, на трикуспидальном, митральном клапанах при отсутствии органических изменений створок клапанов, без пролабирования створок данных клапанов, без пороков данных клапанов, без нарушения размеров и геометрии полостей сердца, без нарушения ритма и проводимости, не сопровождающаяся снижением мощности выполненной нагрузки по результатам ВЭМ, считается функциональной и не является основанием для применения настоящего пункта. При обнаружении регургитации I степени на аортальном клапане ее следует расценивать независимо от остальных показателей как недостаточность аортального клапана. Малые аномалии сердца или их сочетание, не изменяющие геометрию полости левого (правого) желудочка и не сопровождающиеся снижением мощности выполненной нагрузки по результатам ВЭМ, не являются основанием для применения настоящего пункта. При диагностировании малых аномалий сердца или их сочетаний, сопровождающихся нарушениями ритма, и (или) проводимости сердца по данным ЭКГ-покоя, нагрузочных проб, либо по данным суточного мониторирования ЭКГ и (или) чреспищеводной электрокардиостимуляции левого предсердия, медицинское освидетельствование также проводится по пункту 42 Требований по графам. Дефекты костей черепа вследствие незаращения родничков освидетельствуются по пункту 81 Требований по графам. Сакрализация V поясничного или люмбализация I крестцового позвонка, незаращение дужек указанных позвонков, гипоспадия у коронарной борозды не являются основанием для применения настоящего пункта, не препятствуют прохождению воинской службы, поступлению в ВУЗ.","зоб, недостаточность, полость, сердечный","{""degree"": 1, ""size_cm_max"": 5.0, ""size_cm_min"": 2.0, ""size_cm"": 5.0, ""size_cm_up_to"": 5.0}"
81,1,"дефекты с наличием инородного тела в полости черепа; дефекты костей свода черепа более 40 кв. см, замещенные пластическим материалом",полость,"{""count_more_than"": 40}"
81,1,"дефекты костей свода черепа более 10 кв. см, незамещенным пластическим материалом; дефекты и деформации челюстно-лицевой области после ранений и травм, не замещенные трансплантатами",,"{""count_more_than"": 10}"
81,1,"анкилозы височно-нижнечелюстных суставов; ложные суставы нижней челюсти, контрактуры челюстно-лицевой области при отсутствии эффекта от лечения, в том числе хирургического, или отказе от него.",,{}
81,2,"дефекты костей свода черепа менее 40 кв. см, замещенные пластическим материалом; дефекты костей свода черепа менее 10 кв. см, незамещенным пластическим материалом.",,"{""count_less_than"": 40}"
81,3,"К данному подпункту также относятся дефекты костей свода черепа до 6 кв. см, замещенные плотным соединительно-тканным рубцом. Дефект костей черепа после костно-пластической трепанации определяется как дефект, замещенный пластическим материалом (аутокостью, титановой сеткой, костным цементом). Фрезевые отверстия, созданные с диагностической или лечебной целью, суммируются в дефект костей черепа, незамещенные пластическим материалом и определяются как замещенный соединительно-тканным рубцом. Площадь дефекта черепа оценивается по данным компьютерной томографии (в том числе по данным трехмерных реконструкций) или краниографии. Граждане (военнослужащие) с последствиями повреждений челюстно-лицевой области, костных стенок глазницы, не указанными в настоящем пункте, освидетельствуются по соответствующим пунктам требований по графам. Граждане (военнослужащие), поступающие в ВУЗ, имеющие дефекты костей черепа любых размеров и локализаций, негодны к поступлению в ВУЗ. При повреждении наружно-кортикальной пластинки свода черепа вдавленного характера без признаков органического поражения ЦНС с благоприятным исходом, категория годности к воинской службе освидетельствуемых по графам III после отпуска по болезни определяется по подпункту 3), а при повреждении стекловидной пластинки с оперативным лечением или без него, решение принимается по подпункту 2) настоящего пункта. При переломе черепа линейного характера без признаков органического поражения ЦНС с благоприятным исходом, категория годности к воинской службе освидетельствуемых по графе III после отпуска определяется по подпункту 3) настоящего пункта.",,{}
